code,name,province
520100,贵阳,贵州省
520200,六盘水,贵州省
520300,遵义,贵州省
520400,安顺,贵州省
520500,毕节,贵州省
520600,铜仁,贵州省
522300,黔西南布依族苗族自治州,贵州省
522600,黔东南苗族侗族自治州,贵州省
522700,黔南布依族苗族自治州,贵州省
530100,昆明,云南省
530300,曲靖,云南省
530400,玉溪,云南省
530500,保山,云南省
530600,昭通,云南省
530700,丽江,云南省
530800,普洱,云南省
530900,临沧,云南省
532300,楚雄彝族自治州,云南省
532500,红河哈尼族彝族自治州,云南省
532600,文山壮族苗族自治州,云南省
532800,西双版纳傣族自治州,云南省
532900,大理白族自治州,云南省
533100,德宏傣族景颇族自治州,云南省
533300,怒江傈僳族自治州,云南省
533400,迪庆藏族自治州,云南省
540100,拉萨,西藏自治区
540200,日喀则,西藏自治区
540300,昌都,西藏自治区
540400,林芝,西藏自治区
540500,山南,西藏自治区
540600,那曲,西藏自治区
542500,阿里地区,西藏自治区
610100,西安,陕西省
610200,铜川,陕西省
610300,宝鸡,陕西省
610400,咸阳,陕西省
610500,渭南,陕西省
610600,延安,陕西省
610700,汉中,陕西省
610800,榆林,陕西省
610900,安康,陕西省
611000,商洛,陕西省
620100,兰州,甘肃省
620200,嘉峪关,甘肃省
620300,金昌,甘肃省
620400,白银,甘肃省
620500,天水,甘肃省
620600,武威,甘肃省
620700,张掖,甘肃省
620800,平凉,甘肃省
620900,酒泉,甘肃省
621000,庆阳,甘肃省
621100,定西,甘肃省
621200,陇南,甘肃省
622900,临夏回族自治州,甘肃省
623000,甘南藏族自治州,甘肃省
630100,西宁,青海省
630200,海东,青海省
632200,海北藏族自治州,青海省
632300,黄南藏族自治州,青海省
632500,海南藏族自治州,青海省
632600,果洛藏族自治州,青海省
632700,玉树藏族自治州,青海省
632800,海西蒙古族藏族自治州,青海省
640100,银川,宁夏回族自治区
640200,石嘴山,宁夏回族自治区
640300,吴忠,宁夏回族自治区
640400,固原,宁夏回族自治区
640500,中卫,宁夏回族自治区
650100,乌鲁木齐,新疆维吾尔自治区
650200,克拉玛依,新疆维吾尔自治区
650400,吐鲁番,新疆维吾尔自治区
650500,哈密,新疆维吾尔自治区
652300,昌吉回族自治州,新疆维吾尔自治区
652700,博尔塔拉蒙古自治州,新疆维吾尔自治区
652800,巴音郭楞蒙古自治州,新疆维吾尔自治区
652900,阿克苏地区,新疆维吾尔自治区
653000,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
653100,喀什地区,新疆维吾尔自治区
653200,和田地区,新疆维吾尔自治区
654000,伊犁哈萨克自治州,新疆维吾尔自治区
654200,塔城地区,新疆维吾尔自治区
654300,阿勒泰地区,新疆维吾尔自治区
659000,自治区直辖县级行政区划,新疆维吾尔自治区
